Algorithm,Triplet_Score
MAX-Cut,0.9998
MAX-Cut,0.9974
MAX-Cut,0.9984
MAX-Cut,0.9968
MAX-Cut,0.9978
MAX-Cut,0.9988
MAX-Cut,0.9834
MAX-Cut,0.9808
MAX-Cut,0.996
MAX-Cut,0.9912
MAX-Cut,0.9954
MAX-Cut,0.996
MAX-Cut,0.9974
MAX-Cut,0.9992
MAX-Cut,0.9994
MAX-Cut,0.9936
MAX-Cut,0.9966
MAX-Cut,0.999
MAX-Cut,0.9998
MAX-Cut,0.997
MAX-Cut,0.9992
MAX-Cut,0.9974
MAX-Cut,0.9992
MAX-Cut,0.9976
MAX-Cut,0.9898
MAX-Cut,0.9978
MAX-Cut,0.997
MAX-Cut,0.9992
MAX-Cut,0.9958
MAX-Cut,0.9998
MAX-Cut,0.993
MAX-Cut,0.9946
MAX-Cut,0.9992
MAX-Cut,0.9868
MAX-Cut,0.9982
MAX-Cut,0.982
MAX-Cut,0.9988
MAX-Cut,0.9958
MAX-Cut,0.9974
MAX-Cut,0.997
MAX-Cut,0.9954
MAX-Cut,0.999
MAX-Cut,0.999
MAX-Cut,0.9998
MAX-Cut,0.9992
MAX-Cut,0.9908
MAX-Cut,0.9906
MAX-Cut,0.9978
MAX-Cut,0.9944
MAX-Cut,0.9868
MAX-Cut,0.9918
MAX-Cut,0.9994
MAX-Cut,0.997
MAX-Cut,0.9996
MAX-Cut,0.9998
MAX-Cut,0.999
MAX-Cut,0.9956
MAX-Cut,0.9926
MAX-Cut,0.9988
MAX-Cut,0.9976
MAX-Cut,0.9876
MAX-Cut,0.9878
MAX-Cut,0.9956
MAX-Cut,0.9964
MAX-Cut,0.9968
MAX-Cut,0.9988
MAX-Cut,0.999
MAX-Cut,0.9942
MAX-Cut,0.9966
MAX-Cut,0.9838
MAX-Cut,0.9956
MAX-Cut,0.9932
MAX-Cut,0.989
MAX-Cut,0.9898
MAX-Cut,0.9928
MAX-Cut,0.9988
MAX-Cut,0.9894
MAX-Cut,0.9988
MAX-Cut,0.997
MAX-Cut,0.9968
MAX-Cut,0.9992
MAX-Cut,0.998
MAX-Cut,0.9986
MAX-Cut,0.9988
MAX-Cut,1.0
MAX-Cut,0.998
MAX-Cut,0.9982
MAX-Cut,0.9968
MAX-Cut,0.9956
MAX-Cut,0.9984
MAX-Cut,0.997
MAX-Cut,0.9988
MAX-Cut,0.9998
MAX-Cut,0.9962
MAX-Cut,0.9956
MAX-Cut,0.996
MAX-Cut,0.9976
MAX-Cut,0.9952
MAX-Cut,0.9986
MAX-Cut,0.9844
Vanilla Greedy,0.8263999999999999
Vanilla Greedy,0.7412000000000001
Vanilla Greedy,0.7776
Vanilla Greedy,0.7212000000000001
Vanilla Greedy,0.8352
Vanilla Greedy,0.7707999999999999
Vanilla Greedy,0.8288
Vanilla Greedy,0.7824
Vanilla Greedy,0.7832000000000001
Vanilla Greedy,0.7847999999999999
Vanilla Greedy,0.8304
Vanilla Greedy,0.7992000000000001
Vanilla Greedy,0.8380000000000001
Vanilla Greedy,0.7792
Vanilla Greedy,0.7896
Vanilla Greedy,0.8176
Vanilla Greedy,0.7996
Vanilla Greedy,0.7415999999999999
Vanilla Greedy,0.8552
Vanilla Greedy,0.7948
Vanilla Greedy,0.8032
Vanilla Greedy,0.8224
Vanilla Greedy,0.8112
Vanilla Greedy,0.8048
Vanilla Greedy,0.8208
Vanilla Greedy,0.7868
Vanilla Greedy,0.7748
Vanilla Greedy,0.852
Vanilla Greedy,0.8308
Vanilla Greedy,0.7752000000000001
Vanilla Greedy,0.7948000000000001
Vanilla Greedy,0.7804
Vanilla Greedy,0.792
Vanilla Greedy,0.7736000000000001
Vanilla Greedy,0.8028000000000001
Vanilla Greedy,0.722
Vanilla Greedy,0.8300000000000001
Vanilla Greedy,0.7527999999999999
Vanilla Greedy,0.7243999999999999
Vanilla Greedy,0.7691999999999999
Vanilla Greedy,0.764
Vanilla Greedy,0.6952
Vanilla Greedy,0.7716000000000001
Vanilla Greedy,0.7936000000000001
Vanilla Greedy,0.7952
Vanilla Greedy,0.8544
Vanilla Greedy,0.766
Vanilla Greedy,0.7652
Vanilla Greedy,0.7864
Vanilla Greedy,0.8
Vanilla Greedy,0.8119999999999999
Vanilla Greedy,0.7972
Vanilla Greedy,0.7708
Vanilla Greedy,0.7856
Vanilla Greedy,0.8475999999999999
Vanilla Greedy,0.806
Vanilla Greedy,0.7644
Vanilla Greedy,0.7332000000000001
Vanilla Greedy,0.8032
Vanilla Greedy,0.8128
Vanilla Greedy,0.8144
Vanilla Greedy,0.7087999999999999
Vanilla Greedy,0.7556
Vanilla Greedy,0.796
Vanilla Greedy,0.7696
Vanilla Greedy,0.8235999999999999
Vanilla Greedy,0.8992000000000001
Vanilla Greedy,0.796
Vanilla Greedy,0.7931999999999999
Vanilla Greedy,0.78
Vanilla Greedy,0.7051999999999999
Vanilla Greedy,0.7652
Vanilla Greedy,0.7764
Vanilla Greedy,0.8668000000000001
Vanilla Greedy,0.8328
Vanilla Greedy,0.736
Vanilla Greedy,0.836
Vanilla Greedy,0.8116
Vanilla Greedy,0.8084
Vanilla Greedy,0.8780000000000001
Vanilla Greedy,0.74
Vanilla Greedy,0.82
Vanilla Greedy,0.7891999999999999
Vanilla Greedy,0.8263999999999999
Vanilla Greedy,0.7664
Vanilla Greedy,0.78
Vanilla Greedy,0.8024000000000001
Vanilla Greedy,0.8208
Vanilla Greedy,0.8248
Vanilla Greedy,0.8248000000000001
Vanilla Greedy,0.7636000000000001
Vanilla Greedy,0.7739999999999999
Vanilla Greedy,0.7388
Vanilla Greedy,0.7844
Vanilla Greedy,0.7444
Vanilla Greedy,0.8168
Vanilla Greedy,0.8535999999999999
Vanilla Greedy,0.8048
Vanilla Greedy,0.7932000000000001
Vanilla Greedy,0.7511999999999999
UPGMA,0.9928000000000001
UPGMA,0.9944
UPGMA,0.9924
UPGMA,0.9916
UPGMA,0.9603999999999999
UPGMA,0.9748000000000001
UPGMA,1.0
UPGMA,0.9788
UPGMA,1.0
UPGMA,0.9864
UPGMA,0.9896
UPGMA,0.994
UPGMA,1.0
UPGMA,0.9948
UPGMA,0.9296
UPGMA,0.976
UPGMA,0.9788
UPGMA,0.9616
UPGMA,0.9776
UPGMA,0.9904
UPGMA,0.9960000000000001
UPGMA,0.9780000000000001
UPGMA,0.9879999999999999
UPGMA,0.95
UPGMA,0.982
UPGMA,0.9847999999999999
UPGMA,0.9400000000000001
UPGMA,0.9884000000000001
UPGMA,1.0
UPGMA,0.9911999999999999
UPGMA,0.9484
UPGMA,0.9836
UPGMA,0.9924
UPGMA,0.994
UPGMA,0.9875999999999999
UPGMA,0.9804
UPGMA,1.0
UPGMA,0.9784
UPGMA,0.9676
UPGMA,0.9776
UPGMA,0.99
UPGMA,0.9812
UPGMA,0.9804
UPGMA,0.9776
UPGMA,0.9876000000000001
UPGMA,0.9484
UPGMA,0.9816
UPGMA,0.9948
UPGMA,0.9676
UPGMA,0.9528000000000001
UPGMA,0.9884000000000001
UPGMA,0.9848000000000001
UPGMA,0.958
UPGMA,0.9911999999999999
UPGMA,0.9868
UPGMA,0.9708
UPGMA,0.9788
UPGMA,0.95
UPGMA,0.9683999999999999
UPGMA,0.9872
UPGMA,0.9756
UPGMA,1.0
UPGMA,0.9843999999999999
UPGMA,0.9832000000000001
UPGMA,1.0
UPGMA,0.9704
UPGMA,0.9879999999999999
UPGMA,0.9812000000000001
UPGMA,0.9827999999999999
UPGMA,0.9928000000000001
UPGMA,1.0
UPGMA,0.974
UPGMA,0.9952
UPGMA,0.9696
UPGMA,0.9916
UPGMA,0.9576
UPGMA,0.9683999999999999
UPGMA,0.944
UPGMA,0.946
UPGMA,0.9688000000000001
UPGMA,0.9672000000000001
UPGMA,0.9743999999999999
UPGMA,1.0
UPGMA,0.9944
UPGMA,0.9928000000000001
UPGMA,0.9292
UPGMA,0.9795999999999999
UPGMA,0.9732
UPGMA,0.9756
UPGMA,0.9847999999999999
UPGMA,0.99
UPGMA,0.9936
UPGMA,0.99
UPGMA,0.9719999999999999
UPGMA,0.9948
UPGMA,0.994
UPGMA,0.9635999999999999
UPGMA,0.9896
UPGMA,0.9916
UPGMA,0.9928000000000001
NeighborJoining,0.992
NeighborJoining,0.984
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,0.9928000000000001
NeighborJoining,0.9888
NeighborJoining,1.0
NeighborJoining,0.9911999999999999
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,0.9868
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,0.9176
NeighborJoining,0.97
NeighborJoining,0.9852000000000001
NeighborJoining,0.9932000000000001
NeighborJoining,0.9603999999999999
NeighborJoining,0.9944
NeighborJoining,1.0
NeighborJoining,0.994
NeighborJoining,1.0
NeighborJoining,0.9932000000000001
NeighborJoining,0.97
NeighborJoining,0.9800000000000001
NeighborJoining,0.986
NeighborJoining,1.0
NeighborJoining,0.9751999999999998
NeighborJoining,0.9928000000000001
NeighborJoining,0.9748000000000001
NeighborJoining,0.99
NeighborJoining,0.9964000000000001
NeighborJoining,0.978
NeighborJoining,0.9884000000000001
NeighborJoining,0.9751999999999998
NeighborJoining,0.9751999999999998
NeighborJoining,0.994
NeighborJoining,0.9928000000000001
NeighborJoining,0.9752000000000001
NeighborJoining,1.0
NeighborJoining,0.9911999999999999
NeighborJoining,0.9856
NeighborJoining,0.9788
NeighborJoining,1.0
NeighborJoining,0.9852000000000001
NeighborJoining,0.9776
NeighborJoining,0.9868
NeighborJoining,0.9907999999999999
NeighborJoining,1.0
NeighborJoining,0.9904
NeighborJoining,0.9948
NeighborJoining,0.9720000000000001
NeighborJoining,0.976
NeighborJoining,1.0
NeighborJoining,0.9864
NeighborJoining,0.9831999999999999
NeighborJoining,0.9888
NeighborJoining,0.9632
NeighborJoining,0.9948
NeighborJoining,0.9907999999999999
NeighborJoining,1.0
NeighborJoining,0.9924
NeighborJoining,0.9808
NeighborJoining,0.9928000000000001
NeighborJoining,0.9852000000000001
NeighborJoining,0.992
NeighborJoining,0.9884000000000001
NeighborJoining,1.0
NeighborJoining,0.9952
NeighborJoining,0.9936
NeighborJoining,0.9896
NeighborJoining,0.9792
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,0.9872
NeighborJoining,0.9492
NeighborJoining,0.9924
NeighborJoining,0.9376
NeighborJoining,0.982
NeighborJoining,1.0
NeighborJoining,0.9736
NeighborJoining,1.0
NeighborJoining,0.9644
NeighborJoining,1.0
NeighborJoining,0.9712
NeighborJoining,0.9864
NeighborJoining,0.9928000000000001
NeighborJoining,0.9892
NeighborJoining,0.9936
NeighborJoining,0.984
NeighborJoining,0.9911999999999999
NeighborJoining,0.9944
NeighborJoining,0.9804
NeighborJoining,0.9928000000000001
NeighborJoining,1.0
NeighborJoining,0.9868
NeighborJoining,1.0
NeighborJoining,0.9408
NeighborJoining,0.992
